[Sun Feb 26 21:25:22.270608 2017] [:error] [pid 6848] [client 127.0.0.1:56411] PHP Fatal error:  Zend\\Router\\Exception\\RuntimeException: Route with name "entities" not found in /home/vidok/sites/ogame.zz/vendor/zendframework/zend-view/src/Helper/Navigation/AbstractHelper.php on line 153
[Sun Feb 26 21:31:39.161535 2017] [:error] [pid 20014] [client 127.0.0.1:56429] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/
[Sun Feb 26 21:31:39.969744 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:31:40.657083 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/
[Sun Feb 26 21:31:41.465602 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:31:42.158255 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/
[Sun Feb 26 21:31:42.963449 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:31:43.651572 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/
[Sun Feb 26 21:31:44.183105 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4
[Sun Feb 26 21:31:44.367506 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4
[Sun Feb 26 21:31:44.465041 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
